N	Series computation
15310	3.14153
15320	3.14153
15330	3.14153
15340	3.14153
15350	3.14153
15360	3.14153
15370	3.14153
15380	3.14153
15390	3.14153
15400	3.14153
15410	3.14153
15420	3.14153
15430	3.14153
15440	3.14153
15450	3.14153
15460	3.14153
15470	3.14153
15480	3.14153
15490	3.14153
15500	3.14153
15510	3.14153
15520	3.14153
15530	3.14153
15540	3.14153
15550	3.14153
15560	3.14153
15570	3.14153
15580	3.14153
15590	3.14153
15600	3.14153
15610	3.14153
15620	3.14153
15630	3.14153
15640	3.14153
15650	3.14153
15660	3.14153
15670	3.14153
15680	3.14153
15690	3.14153
15700	3.14153
15710	3.14153
15720	3.14153
15730	3.14153
15740	3.14153
15750	3.14153
15760	3.14153
15770	3.14153
15780	3.14153
15790	3.14153
15800	3.14153
15810	3.14153
15820	3.14153
15830	3.14153
15840	3.14153
15850	3.14153
15860	3.14153
15870	3.14153
15880	3.14153
15890	3.14153
15900	3.14153
15910	3.14153
15920	3.14153
15930	3.14153
15940	3.14153
15950	3.14153
15960	3.14153
15970	3.14153
15980	3.14153
15990	3.14153
16000	3.14153
16010	3.14153
16020	3.14153
16030	3.14153
16040	3.14153
16050	3.14153
16060	3.14153
16070	3.14153
16080	3.14153
16090	3.14153
16100	3.14153
16110	3.14153
16120	3.14153
16130	3.14153
16140	3.14153
16150	3.14153
16160	3.14153
16170	3.14153
16180	3.14153
16190	3.14153
16200	3.14153
16210	3.14153
16220	3.14153
16230	3.14153
16240	3.14153
16250	3.14153
16260	3.14153
16270	3.14153
16280	3.14153
16290	3.14153
16300	3.14153
16310	3.14153
16320	3.14153
16330	3.14153
16340	3.14153
16350	3.14153
16360	3.14153
16370	3.14153
16380	3.14153
16390	3.14153
16400	3.14153
16410	3.14153
16420	3.14153
16430	3.14153
16440	3.14153
16450	3.14153
16460	3.14153
16470	3.14153
16480	3.14153
16490	3.14153
16500	3.14153
16510	3.14153
16520	3.14153
16530	3.14153
16540	3.14153
16550	3.14153
16560	3.14153
16570	3.14154
16580	3.14154
16590	3.14154
16600	3.14154
16610	3.14154
16620	3.14154
16630	3.14154
16640	3.14154
16650	3.14154
16660	3.14154
16670	3.14154
16680	3.14154
16690	3.14154
16700	3.14154
16710	3.14154
16720	3.14154
16730	3.14154
16740	3.14154
16750	3.14154
16760	3.14154
16770	3.14154
16780	3.14154
16790	3.14154
16800	3.14154
16810	3.14154
16820	3.14154
16830	3.14154
16840	3.14154
16850	3.14154
16860	3.14154
16870	3.14154
16880	3.14154
16890	3.14154
16900	3.14154
16910	3.14154
16920	3.14154
16930	3.14154
16940	3.14154
16950	3.14154
16960	3.14154
16970	3.14154
16980	3.14154
16990	3.14154
17000	3.14154
17010	3.14154
17020	3.14154
17030	3.14154
17040	3.14154
17050	3.14154
17060	3.14154
17070	3.14154
17080	3.14154
17090	3.14154
17100	3.14154
17110	3.14154
17120	3.14154
17130	3.14154
17140	3.14154
17150	3.14154
17160	3.14154
17170	3.14154
17180	3.14154
17190	3.14154
17200	3.14154
17210	3.14154
17220	3.14154
17230	3.14154
17240	3.14154
17250	3.14154
17260	3.14154
17270	3.14154
17280	3.14154
17290	3.14154
17300	3.14154
17310	3.14154
17320	3.14154
17330	3.14154
17340	3.14154
17350	3.14154
17360	3.14154
17370	3.14154
17380	3.14154
17390	3.14154
17400	3.14154
17410	3.14154
17420	3.14154
17430	3.14154
17440	3.14154
17450	3.14154
17460	3.14154
17470	3.14154
17480	3.14154
17490	3.14154
17500	3.14154
17510	3.14154
17520	3.14154
17530	3.14154
17540	3.14154
17550	3.14154
17560	3.14154
17570	3.14154
